file_name,signal,signallength,pe,comp,fisher_shannon,fisher_info,renyipe,renyicomp,tsallispe,tsalliscomp,dimension,tau,state,binaryclass,nan_percentage
data/test/SpO2/33.csv,24,1022,0.008674,0.008562,0.008674,0.500000,0.008674,0.008562,0.008674,0.008562,3,1,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.015856,0.015493,0.015856,0.500000,0.015856,0.015493,0.015856,0.015493,3,2,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.022485,0.021770,0.022485,0.500000,0.022485,0.021770,0.022485,0.021770,3,3,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.007342,0.007257,0.007342,0.501472,0.007342,0.007257,0.007342,0.007257,4,1,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.013430,0.013166,0.013430,0.502953,0.013430,0.013166,0.013430,0.013166,4,2,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.019059,0.018551,0.019059,0.504442,0.019059,0.018551,0.019059,0.018551,4,3,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.006503,0.006442,0.006503,0.501965,0.006503,0.006442,0.006503,0.006442,5,1,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.011906,0.011727,0.011906,0.503945,0.011906,0.011727,0.011906,0.011727,5,2,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.016908,0.016580,0.016908,0.505941,0.016908,0.016580,0.016908,0.016580,5,3,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.005920,0.005885,0.005920,0.502458,0.005920,0.005885,0.005920,0.005885,6,1,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.010846,0.010756,0.010846,0.504941,0.010846,0.010756,0.010846,0.010756,6,2,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.015415,0.015262,0.015415,0.507448,0.015415,0.015262,0.015415,0.015262,6,3,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.005487,0.005474,0.005487,0.502953,0.005487,0.005474,0.005487,0.005474,7,1,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.010060,0.010031,0.010060,0.505941,0.010060,0.010031,0.010060,0.010031,7,2,unknown,-1,0.00
data/test/SpO2/33.csv,24,1022,0.014309,0.014263,0.014309,0.508964,0.014309,0.014263,0.014309,0.014263,7,3,unknown,-1,0.00
data/test/SpO2/33.csv,6,1022,0.008674,0.008562,0.008674,0.500000,0.008674,0.008562,0.008674,0.008562,3,1,unknown,-1,0.00
data/test/SpO2/33.csv,6,1022,0.015856,0.015493,0.015856,0.500000,0.015856,0.015493,0.015856,0.015493,3,2,unknown,-1,0.00
data/test/SpO2/33.csv,6,1022,0.022485,0.021770,0.022485,0.500000,0.022485,0.021770,0.022485,0.021770,3,3,unknown,-1,0.00
data/test/SpO2/33.csv,6,1022,0.007342,0.007257,0.007342,0.501472,0.007342,0.007257,0.007342,0.007257,4,1,unknown,-1,0.00
data/test/SpO2/33.csv,6,1022,0.013430,0.013166,0.013430,0.502953,0.013430,0.013166,0.013430,0.013166,4,2,unknown,-1,0.00
data/test/SpO2/33.csv,6,1022,0.019059,0.018551,0.019059,0.504442,0.019059,0.018551,0.019059,0.018551,4,3,unknown,-1,0.00
